snid,CEP_dist,DSCT_dist,EB_dist,RRL_dist
59624977,53.68703611585221,52.44558658806968,46.83787446440138,51.944962327072474
93589326,59.2472623620651,55.847641885033205,49.67274734025398,55.34253405213029
88904394,51.892996294611045,48.75522937732062,44.775728772718686,50.637659278682186
138922893,56.77000818857254,54.15337760034952,50.557007701666265,54.367467186758944
49773773,54.22684813012307,49.36358102993237,45.4677518384926,50.84488175067294
86057860,52.04477364615832,49.66165854224849,43.841779095320724,49.788438356927244
97231748,53.325581262654175,49.7959293943411,46.00878000419179,49.97623163980374
80766433,54.86735238037659,48.8052069161894,44.10318199138859,49.31082972047228
94144348,53.69503645877364,50.412466454037656,46.49699569392535,51.95498793126705
5296787,54.67789832902479,51.762280168070404,46.46098940167929,52.189340159878626
100734355,54.14985816476723,53.2643510812642,48.408381125791884,52.23611499710036
148704990,51.695488616195604,49.756664931724636,43.47286041545968,49.66599730817518
86101403,52.43034201786111,48.30589354373729,43.12588710159248,50.327431874940935
151216760,53.71735347230897,49.804143571307826,45.65415373832612,50.900140761523964
104326439,52.31508935472148,52.13804821555806,45.28971841212617,50.4617628659975
81957123,53.63247112109278,48.76514919302962,43.13680252393053,50.61466136219857
70735782,53.45416784633896,48.472985178079256,44.04919066545317,50.14418794050765
58031265,61.19795527954823,58.871152473278386,53.49556027142024,58.90462133882259
49437634,54.783934332621904,48.72768947320073,43.98167209051552,50.88530576751842
141155332,54.67449806009521,50.98265963518682,43.48639471363021,49.762058983531766
102845092,54.75849507038353,53.593249596949335,47.38049763340668,52.30566347219459
81825513,52.14564976417218,50.46860462404945,45.01042894179907,50.88659509441223
37099530,56.561295298276164,54.60952567581189,47.6685064377726,54.60025878606724
137169022,56.78472235207614,55.8826406768214,50.24335691921604,55.24240659974923
140742454,52.490483879268936,51.480419264493236,45.95576041268624,50.955588899303706
49022322,58.047993792339696,56.46206246855986,48.32721004036133,55.12490321179383
151984470,53.07041755194798,48.47068346958193,44.14768761264904,49.67876540588058
31917379,52.4979780857753,50.63300715658879,44.39691014825759,49.63535064718212
90444660,52.346966318968185,51.239842703497935,44.53620032798054,49.89512409445004
29872567,51.80434142249823,48.061093614254666,42.444590517532376,50.13930459851283
