snid,CEP_dist,DSCT_dist,EB_dist,RRL_dist
102875500,15073.410720798058,13206184.618444184,12.009791259589607,113.29944602899486
111699711,81746.38766690309,71638447.25861387,62.78924153987671,609.7004912757806
155825094,85499.01868497531,74918615.5367963,67.70203802480341,650.3547737342479
154230880,13602.300843330235,11915267.893966177,11.022450765464226,102.41737029625776
137551327,54533.546873579195,47784393.60364139,42.57497761019748,413.3592263949433
126882937,7927.780628735523,6906708.633746515,9.054240013224947,83.37294119249542
141648554,11789.54243079279,10302240.938214388,10.72648667570159,104.26882441768325
90032485,53786.41305256655,47126798.39534319,41.82953873897113,407.5484056951338
25934612,10125.301414358104,8848192.446123194,8.979329501785484,88.96415432732607
92657657,13672.73574992945,11974041.632690849,10.917981684985143,107.18622257509875
114917702,26985.115927630228,23637940.153107148,21.021576225003297,205.70310821031293
124161742,11781.652462334125,10299607.167721828,10.348338418543406,102.03556767783891
154568658,8081.363311776304,7046110.371381261,12.031321250437493,87.47743539914366
90066075,22558.956131676016,19763345.832500137,17.536996461083906,170.18721594936954
97703486,5409.035339543852,4680755.03604832,17.738118963461762,97.40053095992677
151636940,17219.585927241507,15079310.416834103,13.508638131268494,133.0191811427876
91745302,14155.866793299181,12384664.800891297,11.843182602233272,117.37116928014821
109393338,13498.586754046544,11809840.682833487,11.168121345326782,111.24219025931151
132147317,87739.30653070592,76895883.70652047,67.20457812149073,651.2419994075692
120733569,13705.413650139742,11985491.844401462,12.35106525445001,115.8936435865382
89400191,117875.92561736814,103315924.47557668,90.084368742856,872.1831662670405
109832690,39669.9356028377,34741737.80610041,36.63269275541458,316.98047949272427
151628589,10533.009796226681,9217263.267255023,8.480446169654192,84.11434866935457
102905578,17275.544047509626,15137675.738249145,14.973789146576047,136.17554198812758
95102095,25445.208826385217,22272428.287027616,21.114681290644523,204.48898686198672
124847020,17782.944136133003,15550580.174730008,15.871146409418765,151.8529484904852
125777453,23012.32338412262,20169191.117409553,18.844075642759364,171.24163685858156
85117383,10824.039316887453,9453755.707663147,10.334577069519048,99.43099299888803
17563424,54653.79793191082,47903832.01536788,42.55827627005925,403.9483046255184
138899319,21302.539512647003,18649852.446051173,18.367589381543333,175.01296035497435
140899750,10984.548352063606,9608508.575132664,10.461659438945855,91.40624294816429
149102008,680793.8948643949,596750561.4242041,518.9041636220572,5015.348905042515
